TransactionID,CustomerID,PurchaseDate,Amount,PointsEarned
1,1,2025-08-04 06:02:42.975377,8.69,8
2,1,2026-01-24 06:02:42.975377,27.83,27
3,1,2025-10-12 06:02:42.975377,7.05,7
4,1,2025-05-05 06:02:42.975377,1.28,1
5,1,2025-10-15 06:02:42.975377,30.98,30
6,1,2026-02-18 06:02:44.755543,117.2,117
7,2,2026-02-15 06:02:44.755561,95.78,95
8,3,2026-02-21 06:02:44.755577,42.38,42
9,3,2026-03-04 06:02:44.755588,7.86,7
10,4,2026-01-16 06:02:42.975377,64.1,64
11,4,2025-09-19 06:02:42.975377,143.97,143
12,4,2026-02-24 06:02:44.755629,73.27,73
13,4,2025-06-02 06:02:42.975377,183.99,183
14,4,2025-05-09 06:02:42.975377,135.49,135
15,4,2025-09-28 06:02:42.975377,70.9,70
16,4,2025-04-05 06:02:42.975377,14.67,14
17,5,2026-02-07 06:02:44.755673,34.38,34
18,5,2025-10-08 06:02:42.975377,7.77,7
19,5,2026-02-11 06:02:44.755691,26.27,26
20,5,2026-01-04 06:02:42.975377,54.71,54
21,5,2025-05-02 06:02:42.975377,1.38,1
22,6,2026-02-15 06:02:44.755718,67.34,67
23,6,2026-02-03 06:02:44.755729,17.5,17
24,6,2026-02-22 06:02:44.755739,25.16,25
25,6,2025-11-26 06:02:42.975377,21.08,21
26,6,2026-02-24 06:02:44.755757,14.12,14
27,6,2026-02-25 06:02:44.755768,32.06,32
28,7,2025-09-22 06:02:42.975377,2.24,2
29,7,2025-05-25 06:02:42.975377,13.54,13
30,7,2025-05-25 06:02:42.975377,70.28,70
31,7,2026-01-27 06:02:42.975377,55.08,55
32,7,2026-02-26 06:02:44.755809,19.72,19
33,7,2026-02-21 06:02:44.755820,1.49,1
34,7,2025-11-17 06:02:42.975377,119.45,119
35,7,2025-10-30 06:02:42.975377,20.19,20
36,7,2026-02-13 06:02:44.755843,22.79,22
37,8,2026-02-26 06:02:44.755857,9.69,9
38,8,2026-02-08 06:02:44.755867,38.78,38
39,8,2026-01-15 06:02:42.975377,31.17,31
40,8,2026-02-16 06:02:44.755884,42.48,42
41,8,2026-02-07 06:02:44.755895,41.21,41
42,9,2026-02-28 06:02:42.975377,44.61,44
43,9,2026-02-25 06:02:44.755915,16.28,16
44,9,2026-02-11 06:02:44.755925,42.11,42
45,9,2026-02-08 06:02:44.755935,92.55,92
